Course Code,Description
BSCS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
BSIS,BACHELOR OF SCIENCE IN INFORMATION SYSTEMS
BSIT,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BETCET,BACHELOR OF ENGINEERING TECHNOLOGY IN CIVIL ENGINEERING TECHNOLOGY
BETCHET,BACHELOR OF ENGINEERING TECHNOLOGY IN CHEMICAL ENGINEERING TECHNOLOGY
BETELET,BACHELOR OF ENGINEERING TECHNOLOGY IN ELETRICAL ENGINEERING TECHNOLOGY
BETESET,BACHELOR OF ENGINEERING TECHNOLOGY IN ELECTRONICS ENGINEERING TECHNOLOGY
BETMET,BACHELOR OF ENGINEERING TECHNOLOGY IN MECHANICAL ENGINEERING TECHNOLOGY
BETMMT,BACHELOR OF ENGINEERING TECHNOLOGY IN METALLURGICAL ANG MATERIAL ENGINEERING TECHNOLOGY
BSCE,BACHELOR OF SCIENCE IN CIVIL ENGINEERING
BSCERE,BACHELOR OF SCIENCE IN CERAMICS ENGINEERING
BSCHE,BACHELOR OF SCIENCE IN CHEMICAL ENGINEERING
BSCPE,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
BSEE,BACHELOR OF SCIENCE IN ELETRICAL ENGINEERING
BSEM,BACHELOR OF SCIENCE IN MINING ENGINEERING
BSENE,BACHELOR OF SCIENCE IN ENVIRONMENTAL ENGINEERING
BSESE,BACHELOR OF SCIENCE IN ELECTRONICS ENGINEERING
BSIAM,BACHELOR OF SCIENCE IN INDUSTRIAL AUTOMATION AND MECHATRONICS
BSME,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
BSMETE,BACHELOR OF SCIENCE IN METALLURGICAL ENGINEERING
BSN,BACHELOR OF SCIENCE IN NURSING
BAELS,BACHELOR OF ARTS IN ENGLISH LANGUAGE STUDIES
BALCS,BACHELOR OF ARTS IN LITERARY AND CULTURAL STUDIES
BAFIL,BACHELOR OF ARTS IN FILIPINO
BAHIS,BACHELOR OF ARTS IN HISTORY
BAPAN,BACHELOR OF ARTS IN PANITIKAN
BAPOLSCI,BACHELOR OF ARTS IN POLITICAL SCIENCE
BAPSYCH,BACHELOR OF ARTS IN PSYCHOLOGY
BASOCIO,BACHELOR OF ARTS IN SOCIOLOGY
BSPHILO,BACHELOR OF SCIENCE IN PHILOSOPHY MAJOR IN APPLIED ETHICS
BSPSYCH,BACHELOR OF SCIENCE IN PSYCHOLOGY
BSBIO,BACHELOR OF SCIENCE IN BIOLOGY
BSBIO-BOT,BACHELOR OF SCIENCE IN BIOLOGY MAJOR IN BOTANY
BSMB,BACHELOR OF SCIENCE IN MARINE BIOLOGY
BSBIO-ANBIO,BACHELOR OF SCIENCE IN BIOLOGY MAJOR IN ANIMAL BIOLOGY
BSCHEM,BACHELOR OF SCIENCE IN CHEMISTRY
BSPHY,BACHELOR OF SCIENCE IN PHYSICS
BSMAT,BACHELOR OF SCIENCE IN MATHEMATICS
BSSTAT,BACHELOR OF SCIENCE IN STATISTICS
BEED-LE,BACHELOR OF ELEMENTARY EDUCATION LANGUAGE EDUCATION
BSED-FIL,BACHELOR OF SECONDARY EDUCATION FILIPINO
BEED-SCIMAT,BACHELOR OF ELEMENTARY EDUCATION SCIENCE AND MATHEMATICS
BSED-BIO,BACHELOR OF SECONDARY EDUCATION BIOLOGY
BSED-CHEM,BACHELOR OF SECONDARY EDUCATION CHEMISTRY
BSED-PHY,BACHELOR OF SECONDARY EDUCATION PHYSICS
BSED-MAT,BACHELOR OF SECONDARY EDUCATION MATHEMATICS
BPE,BACHELOR OF PHYSICAL EDUCATION
BTLED-HOMECO,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
BTVTED-DT,BACHELOR OF TECHNICAL-VOCATIONAL TEACHER EDUCATION MAJOR IN DRAFTING TECHNOLOGY
BTLED-IA,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN INDUSTRIAL ARTS
BSA,BACHELOR OF SCIENCE IN ACCOUNTANCY
BSBA-MM,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
BSE,BACHELOR OF SCIENCE MAJOR IN ENTREPRENEURSHIP
BSHM,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
